,concepts,type,Definition,process_name,DataProperty,synonyms
0, project charter,Has_Inputs,  the project charter documents the project purpose highlevel project description  assumptions constraints and highlevel requirements that the project is intended to satisfy, plan scope management,section 4.1.3.1,undertaking lease 
1, project management plan,Has_Inputs,  project management plan components include but are not limited to  quality management plan   the way the project and product scope will be   managed can be inﬂuenced by how the organization’s quality policy methodologies and standards are  implemented on the project  project life cycle description the project life cycle determines the series of phases that a project passes  through from its inception to the end of the project   development approach the development approach deﬁnes whether waterfall iterative adaptive agile or a  hybrid development approach will be used, plan scope management,section 4.2.3.1,undertaking direction program 
2, enterprise environmental factors,Has_Inputs,the enterprise environmental factors that can inﬂuence the plan scope management process include but are not  limited to  organization’s culture  infrastructure  personnel administration and  marketplace conditions, plan scope management,,endeavor environmental factor 
3, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the plan scope management process include but are not  limited to  policies and procedures and  historical information and lessons learned repositories, plan scope management,,organisational procedure asset 
4, expert judgment,Has_Technics_Tools,  expertise should be considered from individuals or groups with specialized knowledge  or training in the following topics  previous similar projects and  information in the industry discipline and application area, plan scope management,section 4.1.2.1,adept opinion 
5, data analysis,Has_Technics_Tools,a data analysis technique that can be used for this process includes but is not limited to alternatives analysis  various ways of collecting requirements elaborating the project and product scope creating the product validating  the scope and controlling the scope are evaluated, plan scope management,,information psychoanalysis 
6, meetings,Has_Technics_Tools,project teams may attend project meetings to develop the scope management plan attendees may include the  project manager the project sponsor selected project team members selected stakeholders anyone with responsibility  for any of the scope management processes and others as needed, plan scope management,,meeting 
7, scope management plan,Has_Outputs,the scope management plan is a component of the project management plan that describes how the scope will be  deﬁned developed monitored controlled and validated the components of a scope management plan include  process for preparing a project scope statement  process that enables the creation of the wbs from the detailed project scope statement  process that establishes how the scope baseline will be approved and maintained and  process that speciﬁes how formal acceptance of the completed project deliverables will be obtained the scope management plan can be formal or informal broadly framed or highly detailed based on the needs  of the project, plan scope management,,range direction program 
8, requirements management plan,Has_Outputs,the requirements management plan is a component of the project management plan that describes how project and  product requirements will be analyzed documented and managed according to business analysis for practitioners  a practice guide  some organizations refer to it as a business analysis plan components of the requirements  management plan can include but are not limited to  how requirements activities will be planned tracked and reported  conﬁguration management activities such as how changes will be initiated how impacts will be analyzed how  they will be traced tracked and reported as well as the authorization levels required to approve these changes  requirements prioritization process  metrics that will be used and the rationale for using them and  traceability structure that reﬂects the requirement attributes captured on the traceability matrix      collect requirements collect requirements is the process of determining documenting and managing stakeholder needs and requirements  to meet objectives the key beneﬁt of this process is that it provides the basis for deﬁning the product scope and project  scope this process is performed once or at predeﬁned points in the project   the pmbokguide does not speciﬁcally address product requirements since those are industry speciﬁc note that  business analysis for practitioners a practice guide  provides more indepth information about product requirements  the project’s success is directly inﬂuenced by active stakeholder involvement in the discovery and decomposition of  needs into project and product requirements and by the care taken in determining documenting and managing the  requirements of the product service or result of the project requirements include conditions or capabilities that are  required to be present in a product service or result to satisfy an agreement or other formally imposed speciﬁcation  requirements include the quantiﬁed and documented needs and expectations of the sponsor customer and other  stakeholders these requirements need to be elicited analyzed and recorded in enough detail to be included in the  scope baseline and to be measured once project execution begins requirements become the foundation of the wbs  cost schedule quality planning and procurement are all based on these requirements, plan scope management,,requirement direction program 
9, project charter,Has_Inputs,  the project charter documents the highlevel project description and highlevel  requirements that will be used to develop detailed requirements, collect requirements,section 4.1.3.1,undertaking lease 
10, project management plan,Has_Inputs,  project management plan components include but are not limited to  scope management plan   the scope management plan contains information on  how the project scope will be deﬁned and developed  requirements management plan   the requirements management plan has  information on how project requirements will be collected analyzed and documented  stakeholder engagement plan   the stakeholder engagement plan is used  to understand stakeholder communication requirements and the level of stakeholder engagement in order to  assess and adapt to the level of stakeholder participation in requirements activities, collect requirements,section 4.2.3.1,undertaking direction program 
11, project documents,Has_Inputs,examples of project documents that can be considered, collect requirements,section 4.1.3.2,undertaking document 
12, business documents,Has_Inputs,  a business document that can inﬂuence the collect requirements process is the  business case which can describe required desired and optional criteria for meeting the business needs, collect requirements,section 1.2.6.,business_concern document 
13, agreements,Has_Inputs,  agreements can contain project and product requirements, collect requirements,section 12.2.3.2,agreement 
14, enterprise environmental factors,Has_Inputs,the enterprise environmental factors that can inﬂuence the collect requirements process include but are not limited to  organization’s culture  infrastructure  personnel administration and  marketplace conditions, collect requirements,,endeavor environmental factor 
15, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the collect requirements process include but are not limited to  policies and procedures and  historical information and lessons learned repository with information from previous projects, collect requirements,,organisational procedure asset 
16, expert judgment,Has_Technics_Tools,  expertise should be considered from individuals or groups with specialized knowledge  or training in the following topics  business analysis  requirements elicitation  requirements analysis  requirements documentation  project requirements in previous similar projects  diagramming techniques  facilitation and  conﬂict management, collect requirements,section 4.1.2.1,adept opinion 
17, data gathering,Has_Technics_Tools,datagathering techniques that can be used for this process include but are not limited to  brainstorming   brainstorming is a technique used to generate and collect multiple  ideas related to project and product requirements  interviews an interview is a formal or informal approach to elicit information from stakeholders by talking  to them directly it is typically performed by asking prepared and spontaneous questions and recording the  responses interviews are often conducted on an individual basis between an interviewer and an interviewee but  may involve multiple interviewers andor multiple interviewees interviewing experienced project participants  sponsors other executives and subject matter experts can aid in identifying and deﬁning the features and  functions of the desired product deliverables interviews are also useful for obtaining conﬁdential information  focus groups focus groups bring together prequaliﬁed stakeholders and subject matter experts to learn about  their expectations and attitudes about a proposed product service or result a trained moderator guides the  group through an interactive discussion designed to be more conversational than a oneonone interview    questionnaires and surveys questionnaires and surveys are written sets of questions designed to quickly  accumulate information from a large number of respondents questionnaires andor surveys are most appropriate  with varied audiences when a quick turnaround is needed when respondents are geographically dispersed and  where statistical analysis could be appropriate  benchmarking   benchmarking involves comparing actual or planned products  processes and practices to those of comparable organizations to identify best practices generate ideas for  improvement and provide a basis for measuring performance the organizations compared during benchmarking  can be internal or external, collect requirements,section 4.1.2.2,information assemblage 
18, data analysis,Has_Technics_Tools,  data analysis techniques that can be used for this process include but are not limited  to document analysis document analysis consists of reviewing and assessing any relevant documented information  in this process document analysis is used to elicit requirements by analyzing existing documentation and identifying  information relevant to the requirements there is a wide range of documents that may be analyzed to help elicit relevant  requirements examples of documents that may be analyzed include but are not limited to  agreements  business plans  business process or interface documentation  business rules repositories  current process ﬂows  marketing literature  problemissue logs  policies and procedures  regulatory documentation such as laws codes or ordinances etc  requests for proposal and  use cases, collect requirements,section 4.5.2.2,information psychoanalysis 
19, decision making,Has_Technics_Tools,decisionmaking techniques that can be used in the collect requirements process include but are not limited to  voting voting is a collective decisionmaking technique and an assessment process having multiple alternatives  with an expected outcome in the form of future actions these techniques can be used to generate classify and  prioritize product requirements examples of voting techniques include  unanimity a decision that is reached whereby everyone agrees on a single course of action  majority a decision that is reached with support obtained from more than  of the members of the group  having a group size with an uneven number of participants can ensure that a decision will be reached rather  than resulting in a tie  plurality a decision that is reached whereby the largest block in a group decides even if a majority is not  achieved this method is generally used when the number of options nominated is more than two   autocratic decision making in this method one individual takes responsibility for making the decision  for the group  multicriteria decision analysis a technique that uses a decision matrix to provide a systematic analytical  approach for establishing criteria such as risk levels uncertainty and valuation to evaluate and rank many ideas, collect requirements,,determination devising 
20, data representation,Has_Technics_Tools,data representation techniques that can be used for this process include but are not limited to  affinity diagrams afﬁnity diagrams allow large numbers of ideas to be classiﬁed into groups for review and  analysis  mind mapping mind mapping consolidates ideas created through individual brainstorming sessions into a  single map to reﬂect commonality and differences in understanding and to generate new ideas, collect requirements,,information mental_representation 
21, interpersonal and team skills,Has_Technics_Tools,  the interpersonal and team skills that can be used in this process include but are not  limited to  nominal group technique the nominal group technique enhances brainstorming with a voting process used  to rank the most useful ideas for further brainstorming or for prioritization the nominal group technique is a  structured form of brainstorming consisting of four steps    a question or problem is posed to the group each person silently generates and writes down their ideas  the moderator writes down the ideas on a ﬂip chart until all ideas are recorded  each recorded idea is discussed until all group members have a clear understanding  individuals vote privately to prioritize the ideas usually using a scale of   with  being the lowest and   being the highest voting may take place in many rounds to reduce and focus in on ideas after each round  the votes are tallied and the highest scoring ideas are selected  observationconversation observation and conversation provide a direct way of viewing individuals in their  environment and how they perform their jobs or tasks and carry out processes it is particularly helpful for detailed  processes when the people who use the product have difﬁculty or are reluctant to articulate their requirements  observation is also known as “job shadowing” it is usually done externally by an observer viewing a business  expert performing a job it can also be done by a “participant observer” who actually performs a process or  procedure to experience how it is done to uncover hidden requirements  facilitation   facilitation is used with focused sessions that bring key stakeholders  together to deﬁne product requirements workshops can be used to quickly deﬁne crossfunctional  requirements and reconcile stakeholder differences because of their interactive group nature wellfacilitated  sessions can build trust foster relationships and improve communication among the participants which can  lead to increased stakeholder consensus in addition issues can be discovered earlier and resolved more  quickly than in individual sessions facilitation skills are used in the following situations but are not limited to  joint application designdevelopment jad jad sessions are used in the software development industry  these facilitated sessions focus on bringing business subject matter experts and the development team  together to gather requirements and improve the software development process  quality function deployment qfd in the manufacturing industry qfd is another facilitation technique that  helps determine critical characteristics for new product development qfd starts by collecting customer  needs also known as voice of the customer voc these needs are then objectively sorted and prioritized  and goals are set for achieving them  user stories user stories which are short textual descriptions of required functionality are often developed  during a requirements workshop user stories describe the stakeholder role who beneﬁts from the feature  role what the stakeholder needs to accomplish goal and the beneﬁt to the stakeholder motivation, collect requirements,section 4.1.2.3,interpersonal squad skill 
22, context diagram,Has_Technics_Tools,the context diagram is an example of a scope model context diagrams visually depict the product scope by showing  a business system process equipment computer system etc and how people and other systems actors interact  with it see figure  context diagrams, collect requirements,,linguistic_context plot 
