Domaine,Object_Property,Range
scope exclusion assist ,manage,stakeholder expectation 
work seller ,develop,support contract 
level uncertainty valuation ,evaluate,rank idea 
analysis ,useevaluate,way 
product project work ,include,project management work 
work exclude help ,determine,project management team 
process asset inﬂuence ,collect,requirement process 
point project ,inputs,tool technique output 
attribute ,ensure,requirement meet stakeholder 
phase project ,improve,scope control 
project help ,manage,stakeholder 
scope ,inputs,tool 
process ,establish,scope baseline 
approach ,establish,criterion requirement 
wbs ,organize,deﬁne 
work package ,vary,size complexity project 
number participant ,ensure,decision 
majority decision ,reach,support 
scope management plan ,update,reﬂect 
wbs ,create,wbs process subdividing 
practice ,generate,idea 
product analysis technique ,include,limit 
product development qfd ,startcollect,customer 
work ,refer,work product 
detail ,need,design 
analysis ,use,deﬁne product service 
product requirement care ,determinedocumenting,manage 
wbs structure ,create,approach 
condition ,meet,order 
project work ,include,project management work 
approach ,establish,criterion risk level 
process ,bring,objectivity acceptance process 
requirement ,obtain,prototype 
contract work seller ,develop,support contract 
training requirement ,need,transition 
stakeholder ,register,business document 
project life cycle ,determine,series phase 
idea ,relate,project product requirement 
assumption constraint highlevel requirement project ,,
number change request ,receive,number request 
person ,authorize,project charter project 
project product scope ,avoidmitigate,risk 
stakeholder expectation ,enable,project team 
project life cycle ,determine,series phase project 
,resultinclude,project requirement condition capability 
scope statement ,include,description project 
component ,require,change request project 
business document inﬂuence ,collect,requirement process 
requirement ,include,quantiﬁed document need 
way ,collect,requirement 
technique input output ,define,scope 
project meeting ,develop,scope management plan 
example ,include,milestone date 
information regard wbs ,refer,practice 
sponsor process output ,obtain,result planning 
requirement ,improve,software development process 
control scope process ,include,limit 
,leadincrease,stakeholder consensus addition 
management plan component ,include,limit scope 
expectation ,reduce,scope 
relationship ,improve,communication 
business requirement higherlevel ,need,organization 
measure project execution ,begin,requirement foundation 
product analysis ,use,deﬁne product service 
organization ,refer,business analysis plan 
project product scope ,create,product validate 
example document analyze ,include,limit 
expectation attitude ,propose,product service 
planning iteration ,carry,work progress 
use ,identify,stakeholder 
response ,approve,change scope schedule 
breakdown ,verify,correctness 
duration estimate ,manage,level decomposition guide 
wbs ,represent,product project work 
way ,meet,requirement 
description ,require,functionality 
cycle help ,ensure,requirement approve requirement 
