process_name,Definition,synonyms
 plan scope management,plan scope management is the process of creating a scope management plan that documents how the project and  product scope will be deﬁned validated and controlled the key beneﬁt of this process is that it provides guidance and  direction on how scope will be managed throughout the project this process is performed once or at predeﬁned points  in the project  the scope management plan is a component of the project or program management plan that describes how the  scope will be deﬁned developed monitored controlled and validated the development of the scope management plan  and the detailing of the project scope begin with the analysis of information contained in the project charter section   the latest approved subsidiary plans of the project management plan section  historical information  contained in the organizational process assets section  and any other relevant enterprise environmental factors  section,program range direction 
 collect requirements,collect requirements is the process of determining documenting and managing stakeholder needs and requirements  to meet objectives the key beneﬁt of this process is that it provides the basis for deﬁning the product scope and project  scope this process is performed once or at predeﬁned points in the project   the pmbokguide does not speciﬁcally address product requirements since those are industry speciﬁc note that  business analysis for practitioners a practice guide  provides more indepth information about product requirements  the project’s success is directly inﬂuenced by active stakeholder involvement in the discovery and decomposition of  needs into project and product requirements and by the care taken in determining documenting and managing the  requirements of the product service or result of the project requirements include conditions or capabilities that are  required to be present in a product service or result to satisfy an agreement or other formally imposed speciﬁcation  requirements include the quantiﬁed and documented needs and expectations of the sponsor customer and other  stakeholders these requirements need to be elicited analyzed and recorded in enough detail to be included in the  scope baseline and to be measured once project execution begins requirements become the foundation of the wbs  cost schedule quality planning and procurement are all based on these requirements,hoard requirement 
 define scope,define scope is the process of developing a detailed description of the project and product the key benefit of  this process is that it describes the product service or result boundaries and acceptance criteria,delimit range 
 create wbs,create wbs is the process of subdividing project deliverables and project work into smaller more manageable  components the key beneﬁt of this process is that it provides a framework of what has to be delivered this process is  performed once or at predeﬁned points in the project  the wbs is a hierarchical decomposition of the total scope of work to be carried out by the project team to accomplish  the project objectives and create the required deliverables the wbs organizes and deﬁnes the total scope of the project  and represents the work speciﬁed in the current approved project scope statement the planned work is contained within the lowest level of wbs components which are called work packages a work  package can be used to group the activities where work is scheduled and estimated monitored and controlled in the  context of the wbs work refers to work products or deliverables that are the result of activity and not to the activity itself,produce west_by_south 
 validate scope,validate scope is the process of formalizing acceptance of the completed project deliverables the key beneﬁt of this  process is that it brings objectivity to the acceptance process and increases the probability of ﬁnal product service  or result acceptance by validating each deliverable this process is performed periodically throughout the project as  needed,corroborate range 
 control scope,control scope is the process of monitoring the status of the project and product scope and managing changes to  the scope baseline the key beneﬁt of this process is that the scope baseline is maintained throughout the project this  process is performed throughout the project,dominance range 
 plan schedule management,plan schedule management is the process of establishing the policies procedures and documentation for  planning developing managing executing and controlling the project schedule the key beneﬁt of this process is  that it provides guidance and direction on how the project schedule will be managed throughout the project this  process is performed once or at predeﬁned points in the project,program agenda direction 
 define activities,deﬁne activities is the process of identifying and documenting the speciﬁc actions to be performed to produce  the project deliverables the key beneﬁt of this process is that it decomposes work packages into schedule activities  that provide a basis for estimating scheduling executing monitoring and controlling the project work this process  is performed throughout the project,delimit activity 
 sequence activities,sequence activities is the process of identifying and documenting relationships among the project activities the key  beneﬁt of this process is that it deﬁnes the logical sequence of work to obtain the greatest efﬁciency given all project  constraints this process is performed throughout the project   every activity except the ﬁrst and last should be connected to at least one predecessor and at least one successor  activity with an appropriate logical relationship logical relationships should be designed to create a realistic project  schedule it may be necessary to use lead or lag time between activities to support a realistic and achievable project  schedule sequencing can be performed by using project management software or by using manual or automated  techniques the sequence activities process concentrates on converting the project activities from a list to a diagram to  act as a ﬁrst step to publish the schedule baseline,episode activity 
 estimate activity durations,estimate activity durations is the process of estimating the number of work periods needed to complete individual  activities with estimated resources the key beneﬁt of this process is that it provides the amount of time each activity  will take to complete this process is performed throughout the project   number of resources as well as the schedule network analysis technique used  the estimate activity durations process requires an estimation of the amount of work effort required to complete  the activity and the amount of available resources estimated to complete the activity these estimates are used to  approximate the number of work periods activity duration needed to complete the activity using the appropriate project  and resource calendars in many cases the number of resources that are expected to be available to accomplish an  activity along with the skill proﬁciency of those resources may determine the activity’s duration a change to a driving  resource allocated to the activity will usually have an effect on the duration but this is not a simple “straightline” or  linear relationship sometimes the intrinsic nature of the work ie constraints imposed on the duration effort involved  or number of resources will take a predetermined amount of time to complete regardless of the resource allocation  eg a hour stress test other factors for consideration when estimating duration include  law of diminishing returns when one factor eg resource used to determine the effort required to produce a  unit of work is increased while all other factors remain ﬁxed a point will eventually be reached at which additions  of that one factor start to yield progressively smaller or diminishing increases in output  number of resources increasing the number of resources to twice the original number of the resources does  not always reduce the time by half as it may increase extra duration due to risk and at some point adding  too many resources to the activity may increase duration due to knowledge transfer learning curve additional  coordination and other factors involved  advances in technology this may also play an important role in determining duration estimates for example an  increase in the output of a manufacturing plant may be achieved by procuring the latest advances in technology  which may impact duration and resource needs  motivation of staff the project manager also needs to be aware of student syndrome or procrastination  when people start to apply themselves only at the last possible moment before the deadline and parkinson’s law  where work expands to ﬁll the time available for its completion all data and assumptions that support duration estimating are documented for each activity duration estimate,approximation action duration 
