Domaine,Data_Property,Range
 plan scope management,Depicted_In,Figure 5-3
 plan scope management,Depicted_In,Figure 5-2
 collect requirements,Depicted_In,Figure 5-5
 collect requirements,Depicted_In,Figure 5-4
 define scope,Depicted_In,Figure 5-8
 define scope,Depicted_In,Figure 5-9
 create wbs,Depicted_In,Figure 5-10
 create wbs,Depicted_In,Figure 5-11
 validate scope,Depicted_In,Figure 5-16
 validate scope,Depicted_In,Figure 5-15
 control scope,Depicted_In,Figure 5-17
 control scope,Depicted_In,Figure 5-18
 plan schedule management,Depicted_In,Figure 6-3
 plan schedule management,Depicted_In,Figure 6-4
 define activities,Depicted_In,Figure 6-5
 define activities,Depicted_In,Figure 6-6
 sequence activities,Depicted_In,Figure 6-8
 sequence activities,Depicted_In,Figure 6-7
 estimate activity durations,Depicted_In,Figure 6-13
 estimate activity durations,Depicted_In,Figure 6-12
 develop schedule,Depicted_In,Figure 6-15
 develop schedule,Depicted_In,Figure 6-14
 control schedule,Depicted_In,Figure 6-22
 control schedule,Depicted_In,Figure 6-23
 plan cost management,Depicted_In,Figure 7-3
 plan cost management,Depicted_In,Figure 7-2
 estimate costs,Depicted_In,Figure 7-4
 estimate costs,Depicted_In,Figure 7-5
 determine budget,Depicted_In,Figure 7-6
 determine budget,Depicted_In,Figure 7-7
 control costs,Depicted_In,Figure 7-10
 control costs,Depicted_In,Figure 7-11
